timestamp,temperature,humidity,soil_moisture,light_intensity,co2
2026-06-01 08:00:00,26.5,68,45,1200,420
2026-06-01 09:00:00,27.1,67,44,1350,425
2026-06-01 10:00:00,28.3,65,43,1500,430
2026-06-01 11:00:00,,64,42,1650,435
2026-06-01 12:00:00,30.2,,41,1800,440
2026-06-01 13:00:00,31.0,60,,1900,445
2026-06-01 14:00:00,31.5,58,39,,450
2026-06-01 15:00:00,32.0,57,38,2000,
2026-06-01 16:00:00,31.2,59,39,1850,448
2026-06-01 17:00:00,29.8,62,40,1600,442
2026-06-02 08:00:00,26.7,69,46,1210,421
2026-06-02 09:00:00,27.4,68,45,1360,426
2026-06-02 10:00:00,28.5,66,44,1510,431
2026-06-02 11:00:00,29.7,64,43,1660,436
2026-06-02 12:00:00,30.4,62,42,1810,441
2026-06-02 13:00:00,31.1,61,41,1910,446
2026-06-02 14:00:00,31.6,59,40,1960,451
2026-06-02 15:00:00,32.1,58,39,2010,456
2026-06-02 16:00:00,31.4,60,40,1860,449
2026-06-02 17:00:00,30.0,63,41,1610,443
2026-06-03 08:00:00,26.8,68,45,1220,422
2026-06-03 09:00:00,27.3,67,44,1370,427
2026-06-03 10:00:00,28.6,65,43,1520,432
2026-06-03 11:00:00,29.4,64,42,1670,437
2026-06-03 12:00:00,30.3,62,41,1820,442
2026-06-03 13:00:00,31.2,60,40,1920,447
2026-06-03 14:00:00,31.7,58,39,1970,452
2026-06-03 15:00:00,32.2,57,38,2020,457
2026-06-03 16:00:00,31.5,59,39,1870,450
2026-06-03 17:00:00,30.1,62,40,1620,444
2026-06-04 08:00:00,26.9,69,46,1230,423
2026-06-04 09:00:00,27.5,68,45,1380,428
2026-06-04 10:00:00,28.7,66,44,1530,433
2026-06-04 11:00:00,29.8,64,43,1680,438
2026-06-04 12:00:00,30.5,62,42,1830,443
2026-06-04 13:00:00,31.3,61,41,1930,448
2026-06-04 14:00:00,31.8,59,40,1980,453
2026-06-04 15:00:00,32.3,58,39,2030,458
2026-06-04 16:00:00,31.6,60,40,1880,451
2026-06-04 17:00:00,30.2,63,41,1630,445
2026-06-05 08:00:00,27.0,69,46,1240,424
2026-06-05 09:00:00,27.6,68,45,1390,429
2026-06-05 10:00:00,28.8,66,44,1540,434
2026-06-05 11:00:00,29.9,64,43,1690,439
2026-06-05 12:00:00,30.6,62,42,1840,444
2026-06-05 13:00:00,31.4,61,41,1940,449
2026-06-05 14:00:00,31.9,59,40,1990,454
2026-06-05 15:00:00,32.4,58,39,2040,459
2026-06-05 16:00:00,31.7,60,40,1890,452
2026-06-05 17:00:00,30.3,63,41,1640,446
