
timestamp,temperature,humidity,CO2,yield
1/1/2025 6:00,25.2,88.3,785.0,1.27
1/1/2025 7:00,25.2,89.3,786.0,1.08
1/1/2025 8:00,26.0,84.3,779.0,1.32
1/1/2025 9:00,26.7,85.6,773.0,1.39
1/1/2025 10:00,26.2,84.9,803.0,1.48
1/1/2025 11:00,26.4,84.8,801.0,1.46
1/1/2025 12:00,27.1,83.6,811.0,1.76
1/1/2025 13:00,26.8,83.8,805.0,1.73
1/1/2025 14:00,26.1,85.9,809.0,1.48
1/1/2025 15:00,26.3,84.6,775.0,1.59
1/1/2025 16:00,25.6,86.9,801.0,1.21
1/1/2025 17:00,25.2,87.1,773.0,1.17
1/1/2025 18:00,25.1,87.1,797.0,1.19
1/1/2025 19:00,23.8,88.2,739.0,1.0
1/1/2025 20:00,23.6,88.9,774.0,1.0
1/1/2025 21:00,23.7,90.4,739.0,1.0
1/1/2025 22:00,23.3,90.7,718.0,1.0
1/1/2025 23:00,23.7,88.3,717.0,1.0
1/2/2025 0:00,23.1,90.5,719.0,1.0
1/2/2025 1:00,23.0,91.4,734.0,1.0
1/2/2025 2:00,24.3,86.5,739.0,1.16
1/2/2025 3:00,23.8,90.0,725.0,1.0
1/2/2025 4:00,24.3,87.8,742.0,1.0
1/2/2025 5:00,24.0,89.7,790.0,1.0
1/2/2025 6:00,24.8,86.9,791.0,1.2
1/2/2025 7:00,25.4,84.7,777.0,1.48
1/2/2025 8:00,25.3,85.1,778.0,1.55
1/2/2025 9:00,26.2,85.8,787.0,1.58
1/2/2025 10:00,26.1,86.2,801.0,1.36
1/2/2025 11:00,26.3,84.5,775.0,1.28
1/2/2025 12:00,26.3,86.3,790.0,1.41
1/2/2025 13:00,27.2,82.2,764.0,1.35
1/2/2025 14:00,26.3,85.5,797.0,1.5
1/2/2025 15:00,25.6,85.1,796.0,1.4
1/2/2025 16:00,26.1,85.1,769.0,1.29
1/2/2025 17:00,24.9,87.7,797.0,1.04
1/2/2025 18:00,25.1,86.3,738.0,1.15
1/2/2025 19:00,23.8,88.8,725.0,1.0
1/2/2025 20:00,23.7,90.7,747.0,1.0
1/2/2025 21:00,24.0,88.3,754.0,1.0
1/2/2025 22:00,24.0,90.0,760.0,1.0
1/2/2025 23:00,23.6,88.2,718.0,1.0
1/3/2025 0:00,23.5,90.4,744.0,1.0
1/3/2025 1:00,23.4,91.6,725.0,1.0
1/3/2025 2:00,23.1,87.4,727.0,1.0
1/3/2025 3:00,23.7,88.5,751.0,1.0
1/3/2025 4:00,24.1,89.5,754.0,1.0
1/3/2025 5:00,25.0,87.3,723.0,1.0
1/3/2025 6:00,25.1,87.8,787.0,1.3
1/3/2025 7:00,24.7,87.2,794.0,1.38
